"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"
"WK16-02"	0.0865176060574868	0.00805394277759681	-0.000784885814022715	0.239729945423164	-0.0848446992615972	0.00117770350990664	-0.0485640051453181	-0.156490449712673	0.0925460285259255	0.0725442280754028	0.0207207585649144	-0.0576147274415208	-0.0634918933071495	0.0284739193291344	0.131905168063864	-0.050484156490389	-0.0901158068217206	-0.302592533415193	-0.13016819570371	-0.0476007156226908
"WK16-16"	0.0744751401201503	-0.0938341491305824	0.136416396351821	-0.0924874192701236	-0.0671105128611402	0.0818166492857215	0.0197799486677211	0.111257814398628	-0.0106943697368211	-0.106641932566709	0.0666239705406758	-0.0448334417062518	-0.0675779796164925	0.122372246918605	0.0186145945135079	0.096979300081074	-0.112293930042203	-0.16958358967633	-0.141483796461693	-0.188305825676159
"WK16-33"	0.0666990888785236	-0.140317459444682	0.168035387479434	0.0891188781486057	-0.172784816229914	-0.103534570315083	0.0720850056946237	0.0539985009587062	-0.130782674872372	0.132139773698139	-0.0140636800472626	0.0939026263331258	0.0829252958983574	-0.110672931801213	-0.0298139877645912	0.129615668154383	0.0211544189039807	-0.213310613438537	-0.0109159736636112	-0.130645847269413
"WK16-66"	0.0895721466572406	-0.0741707657688239	0.13709852202069	0.17969190372844	-0.0340972317109403	0.207844215595697	0.232131759247304	-0.161448120721796	-0.0681702644165133	0.0102310509675419	0.076557059924692	0.0945020607487546	0.0534465917251961	-0.162498300263072	0.153933775880068	-0.18417174305585	0.359904642771279	0.0709512708066239	-0.00722818241056991	-0.227889426532299
"WK16-80"	0.11469482019427	0.00359556812560832	0.320600143246608	-0.406878916753406	-0.0997359276461635	0.138309523628241	-0.139767415012458	0.128508533070398	0.124072267989886	-0.0815284143731902	-0.237398078694883	-0.0738699470607242	-0.00135912156324939	-0.104545229693794	0.117774896873529	-0.202580520433588	-0.0818804695704541	-0.00508306035192322	0.0461997181331395	-0.0016081312181076
"WK16-97"	0.114565315897401	0.207147185817669	-0.00793492191191105	-0.070930543151858	0.0947364256819348	0.126159655901583	-0.0840905361607096	0.166778931453097	0.105618176696993	0.0426165621515229	0.103687243889168	0.0549818393099992	-0.101452665024304	-0.174514422759117	0.00838441605837282	-0.321835431199969	-0.0215829726700271	0.146679213489741	0.0363105236959676	0.000442582489542946
"WP-07"	-0.116753969744947	-0.0150217030850718	0.0383049528296677	0.00276656532809385	-0.0011736259953601	0.0416891029967579	0.0739254617319457	-0.0272332317882883	-0.0357990022559705	-0.130679529325649	-0.170383928509851	0.100037116040366	-0.127354044267778	-0.0931931632885159	-0.113798878319167	0.0372119143574439	-0.0267675385433753	-0.0673505328773637	-0.273845818757234	0.21030842888604
"WP-15"	-0.10619551332145	-0.0013919626988783	-0.041715654921288	-0.0116037533016747	-0.000481993544365067	0.0121675660103069	0.0262752398441894	-0.052542257080848	-0.0261194136168176	-0.00305893453042685	-0.154581141281985	0.196855749578771	-0.0573032103886862	0.0727836678113185	0.107267951969164	0.0676825446165401	-0.107199274458932	0.0469525198408399	0.00123901538721911	0.0283162146765672
"WP-23"	-0.105046571517347	0.0158356459399066	-0.0173405601677925	-0.031737186777724	-0.0324811939024765	0.0152948624621681	-0.0390092686162256	-0.0455169567181441	-0.00663843599807726	0.0687672433860188	0.0742032313712136	-0.0225978525156909	0.00492271190668533	0.0622641829701308	0.0585685609941273	-0.0324132614709406	-0.064075020467697	0.0341493426448451	0.0385703046290194	-0.103763956788014
"WP-40"	-0.110587424726062	-0.0284932277636001	0.000198265775003969	-0.00720878577574905	-0.0196949635115228	0.0289451089551719	-0.0110897491954258	-0.0220557054421675	0.00170756453720683	0.00400028258794106	-0.044435958971924	-0.00694558378783153	0.0297098820532651	0.0354105547880388	0.0808767442415304	0.0184767133735666	0.0632315447999405	0.0614573606858408	-0.0286467526644779	0.116701407537347
"WP-48"	-0.0990910889717365	0.0109171870028557	-0.0235047741078349	-0.0310507122007529	-0.0185860809609369	0.0238240949386968	0.137621154756285	-0.0250017042258964	0.0481864794638597	-0.0398803607662985	-0.11749577069631	0.0269180973841671	-0.108316228851144	-0.052494947518661	0.0477457644869084	0.0904601142766598	0.0117069951939034	-0.131370189541935	0.0371684015794131	0.03374941329372
"WK16-03"	0.0949669872326721	0.120629585759649	0.0170535355212345	0.00652254491730671	-0.394906788673612	-0.0230230524595079	0.0168929730685011	0.0232004951612349	0.0335907073890577	-0.305077539742032	-0.0232318308700109	-0.114893955567204	-0.193965470143708	0.107734081668169	0.0432290658739652	0.0143167584444995	0.180415430454062	0.0573705612209118	-0.0023834266020421	-0.167353198825923
"WK16-17"	0.0543027883061139	-0.140590019178308	0.0415862717458155	0.0586858870457822	0.0685254240969853	0.0565869698580681	0.110281150726919	0.0386003132437434	0.127605173709759	0.109846979504685	-0.0934736701839871	-0.0659601675197091	0.191166715750604	-0.157685221667238	0.148915088884184	-0.0313802190469014	-0.152138705684219	0.0266365269444313	-0.0033170556518068	0.121604819808347
