sample	lake	depth	group	sex
WK16-02	Wanaka	90	Deep	m
WK16-16	Wanaka	90	Deep	m
WK16-33	Wanaka	60	Deep	f
WK16-66	Wanaka	15	Shallow	f
WK16-80	Wanaka	5	Shallow	f
WK16-97	Wanaka	5	Shallow	m
WP-07	Wakatipu	5	Shallow	f
WP-15	Wakatipu	15	Shallow	f
WP-23	Wakatipu	15	Shallow	m
WP-40	Wakatipu	30	Shallow	f
WP-48	Wakatipu	60	Deep	m
WK16-03	Wanaka	90	Deep	m
WK16-17	Wanaka	90	Deep	m
WK16-34	Wanaka	60	Deep	m
WK16-49	Wanaka	30	Shallow	f
WK16-68	Wanaka	15	Shallow	m
WK16-85	Wanaka	5	Shallow	f
WK16-98	Wanaka	5	Shallow	m
WP-08	Wakatipu	5	Shallow	m
WP-16	Wakatipu	15	Shallow	f
WP-24	Wakatipu	15	Shallow	f
WP-41	Wakatipu	30	Shallow	m
WP-49	Wakatipu	60	Deep	f
WK16-04	Wanaka	90	Deep	m
WK16-37	Wanaka	60	Deep	f
WK16-54	Wanaka	30	Shallow	m
WK16-70	Wanaka	15	Shallow	f
WK16-86	Wanaka	5	Shallow	m
WP-01	Wakatipu	5	Shallow	f
WP-09	Wakatipu	5	Shallow	f
WP-17	Wakatipu	15	Shallow	f
WP-34	Wakatipu	30	Shallow	f
WP-42	Wakatipu	30	Shallow	m
WP-50	Wakatipu	90	Deep	m
WK16-06	Wanaka	90	Deep	f
WK16-23	Wanaka	60	Deep	f
WK16-38	Wanaka	60	Deep	m
WK16-55	Wanaka	30	Shallow	f
WK16-72	Wanaka	15	Shallow	f
WK16-87	Wanaka	5	Shallow	m
WP-02	Wakatipu	5	Shallow	f
WP-10	Wakatipu	5	Shallow	f
WP-18	Wakatipu	15	Shallow	f
WP-35	Wakatipu	30	Shallow	f
WP-43	Wakatipu	30	Shallow	f
WP-51	Wakatipu	90	Deep	f
WK16-11	Wanaka	90	Deep	f
WK16-27	Wanaka	60	Deep	m
WK16-40	Wanaka	30	Shallow	m
WK16-56	Wanaka	30	Shallow	m
WK16-73	Wanaka	15	Shallow	m
WK16-90	Wanaka	5	Shallow	f
WP-03	Wakatipu	5	Shallow	m
WP-11	Wakatipu	5	Shallow	m
WP-19	Wakatipu	15	Shallow	f
WP-36	Wakatipu	30	Shallow	f
WP-44	Wakatipu	30	Shallow	f
WP-52	Wakatipu	90	Deep	f
WK16.12	Wanaka	90	Deep	f
WK16-28	Wanaka	60	Deep	f
WK16-44	Wanaka	30	Shallow	f
WK16-58	Wanaka	30	Shallow	f
WK16-75	Wanaka	15	Shallow	f
WK16-92	Wanaka	5	Shallow	f
WP-04	Wakatipu	5	Shallow	f
WP-12	Wakatipu	5	Shallow	m
WP-20	Wakatipu	15	Shallow	m
WP-37	Wakatipu	30	Shallow	f
WP-45	Wakatipu	30	Shallow	m
WP-53	Wakatipu	90	Deep	f
WK16-13	Wanaka	90	Deep	m
WK16-30	Wanaka	60	Deep	f
WK16-46	Wanaka	30	Shallow	m
WK16-62	Wanaka	15	Shallow	f
WK16-77	Wanaka	15	Shallow	m
WK16-94	Wanaka	5	Shallow	f
WP-05	Wakatipu	5	Shallow	m
WP-13	Wakatipu	15	Shallow	f
WP-21	Wakatipu	15	Shallow	f
WP-38	Wakatipu	30	Shallow	m
WP-46	Wakatipu	60	Deep	f
WP-54	Wakatipu	90	Deep	m
WK16-15	Wanaka	90	Deep	m
WK16-31	Wanaka	60	Deep	m
WK16-47	Wanaka	30	Shallow	m
WK16-63	Wanaka	15	Shallow	m
WK16-78	Wanaka	15	Shallow	f
WK16-96	Wanaka	5	Shallow	m
WP-06	Wakatipu	5	Shallow	f
WP-14	Wakatipu	15	Shallow	m
WP-22	Wakatipu	15	Shallow	f
WP-39	Wakatipu	30	Shallow	f
WP-47	Wakatipu	60	Deep	f
WK16-20	Wanaka	60	Deep	f
